flat_type,flat_price,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking
2,1.35,20,1090,1,1,2,1,1,1
3,9.5,38,1861,1,3,3,1,0,1
3,7.0,23,1500,3,1,3,2,0,1
1,0.32,18,650,1,1,1,2,3,1
1,1.1,13,480,3,1,1,1,0,2
2,1.5,2,700,4,1,2,2,0,1
1,1.35,15,750,4,1,1,1,0,1
1,1.05,48,650,4,1,1,2,0,1
3,3.75,14,1000,3,1,3,1,0,1
3,5.26,28,1650,4,1,3,3,1,2
1,0.32,18,650,1,1,1,2,2,1
1,0.65,68,500,1,1,1,1,0,1
2,3.4,35,850,1,2,2,2,0,1
1,1.05,2,650,4,1,1,1,0,1
1,0.33,39,560,1,1,1,1,2,1
3,2.26,20,1061,1,1,3,3,1,1
1,1.7,19,585,1,2,1,1,0,1
3,2.5,48,1177,1,1,3,3,0,1
1,2.05,53,550,2,1,1,1,0,2
1,0.53,1,585,1,2,1,2,2,2
2,2.3,29,942,1,1,2,2,0,1
1,0.96,21,600,4,1,1,1,0,1
2,2.6,7,1250,1,2,2,2,1,1
2,3.75,43,1050,1,1,2,2,2,1
